date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;reproduction_rate;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred
15/04/2022;3553210;743;212547;19;104353.979;21.821;6242.278;0.558;0.98;70702346;29060036;26717539;14924771;207.65;85.35;78.47;43.83
16/04/2022;3554006;796;212565;18;104377.357;23.378;6242.807;0.529;0.99;70842275;29070557;26744070;15027648;208.06;85.38;78.54;44.13
17/04/2022;3554669;663;212596;31;104396.829;19.472;6243.717;0.91;1;70939565;29078963;26763225;15097377;208.34;85.4;78.6;44.34
18/04/2022;3555139;470;212619;23;104410.632;13.803;6244.393;0.675;1.01;71080611;29089219;26785907;15205485;208.76;85.43;78.67;44.66
19/04/2022;3555739;600;212630;11;104428.253;17.621;6244.716;0.323;1.01;71221427;29100479;26809685;15311263;209.17;85.46;78.74;44.97
20/04/2022;3556384;645;212654;24;104447.196;18.943;6245.421;0.705;1.01;71362952;29112682;26833942;15416328;209.59;85.5;78.81;45.28
21/04/2022;3557139;755;212676;22;104469.37;22.174;6246.067;0.646;1.01;71505643;29125053;26859094;15521496;210;85.54;78.88;45.58
22/04/2022;3557869;730;212704;28;104490.809;21.439;6246.889;0.822;1.02;71667434;29141564;26892678;15633192;210.48;85.59;78.98;45.91
23/04/2022;3558613;744;212715;11;104512.66;21.85;6247.212;0.323;1.02;71845861;29159283;26930935;15755643;211;85.64;79.09;46.27
24/04/2022;3559343;730;212724;9;104534.099;21.439;6247.476;0.264;1.02;71989261;29173372;26960994;15854895;211.42;85.68;79.18;46.56
25/04/2022;3560095;752;212736;12;104556.184;22.085;6247.829;0.352;1.02;72131287;29186967;26986077;15958243;211.84;85.72;79.26;46.87
26/04/2022;3560876;781;212742;6;104579.121;22.937;6248.005;0.176;1.01;72278694;29202264;27012723;16063707;212.27;85.76;79.33;47.18
27/04/2022;3561677;801;212761;19;104602.646;23.525;6248.563;0.558;1.01;72424789;29217711;27040093;16166985;212.7;85.81;79.41;47.48
28/04/2022;3562300;623;212769;8;104620.943;18.297;6248.798;0.235;1.01;72566578;29232713;27066792;16267073;213.12;85.85;79.49;47.77
29/04/2022;3563151;851;212778;9;104645.936;24.993;6249.062;0.264;1;72714883;29249568;27096702;16368613;213.56;85.9;79.58;48.07
30/04/2022;3563929;778;212798;20;104668.785;22.849;6249.65;0.587;1;72871576;29263627;27125810;16482139;214.02;85.94;79.67;48.41
1/05/2022;3564558;629;212810;12;104687.258;18.473;6250.002;0.352;1;72912433;29267597;27131268;16513568;214.14;85.96;79.68;48.5
2/05/2022;3565253;695;212824;14;104707.669;20.411;6250.413;0.411;1;72991911;29272815;27140747;16578349;214.37;85.97;79.71;48.69
3/05/2022;3565839;586;212841;17;104724.879;17.21;6250.913;0.499;1;73086279;29278518;27151042;16656719;214.65;85.99;79.74;48.92
4/05/2022;3566523;684;212865;24;104744.968;20.088;6251.617;0.705;0.99;73180358;29284360;27162161;16733837;214.92;86.01;79.77;49.15
5/05/2022;3567171;648;212877;12;104763.999;19.031;6251.97;0.352;0.99;73272839;29290143;27172657;16810039;215.19;86.02;79.8;49.37
6/05/2022;3567863;692;212891;14;104784.322;20.323;6252.381;0.411;0.99;73360185;29295608;27182216;16882361;215.45;86.04;79.83;49.58
7/05/2022;3569026;1163;212913;22;104818.478;34.156;6253.027;0.646;0.99;73441394;29300083;27191588;16949723;215.69;86.05;79.86;49.78
8/05/2022;3569026;0;212913;0;104818.478;0;6253.027;0;1;73458232;29301119;27193543;16963570;215.74;86.05;79.86;49.82
9/05/2022;3569326;300;212933;20;104827.289;8.811;6253.615;0.587;1;73549032;29305915;27202462;17040655;216.01;86.07;79.89;50.05
10/05/2022;3569782;456;212946;13;104840.681;13.392;6253.996;0.382;1.01;73651902;29311259;27212692;17127951;216.31;86.08;79.92;50.3
11/05/2022;3570075;293;212957;11;104849.286;8.605;6254.319;0.323;1.02;73751601;29316672;27223132;17211797;216.6;86.1;79.95;50.55
12/05/2022;3570339;264;212968;11;104857.04;7.753;6254.642;0.323;1.03;73849324;29322502;27234678;17292144;216.89;86.12;79.99;50.79
13/05/2022;3570801;462;212979;11;104870.608;13.568;6254.966;0.323;1.05;73949653;29328847;27247725;17373081;217.18;86.14;80.02;51.02
14/05/2022;3571161;360;213000;21;104881.181;10.573;6255.582;0.617;1.06;74056271;29335158;27262198;17458915;217.5;86.15;80.07;51.27
15/05/2022;3571516;355;213013;13;104891.607;10.426;6255.964;0.382;1.08;74124921;29338881;27271256;17514784;217.7;86.17;80.09;51.44
16/05/2022;3571919;403;213023;10;104903.443;11.836;6256.258;0.294;1.1;74216332;29344006;27282423;17589903;217.97;86.18;80.13;51.66
17/05/2022;3572423;504;213040;17;104918.245;14.802;6256.757;0.499;1.12;74312656;29349600;27294750;17668306;218.25;86.2;80.16;51.89
18/05/2022;3572832;409;213044;4;104930.256;12.012;6256.875;0.117;1.14;74409854;29355228;27307200;17747426;218.53;86.21;80.2;52.12
19/05/2022;3573220;388;213058;14;104941.652;11.395;6257.286;0.411;1.13;74504094;29361177;27319773;17823144;218.81;86.23;80.24;52.34
20/05/2022;3573738;518;213069;11;104956.865;15.213;6257.609;0.323;1.12;74605368;29367931;27334450;17902987;219.11;86.25;80.28;52.58
21/05/2022;3574182;444;213077;8;104969.904;13.04;6257.844;0.235;1.12;74719052;29374853;27350560;17993639;219.44;86.27;80.33;52.85
22/05/2022;3574876;694;213086;9;104990.287;20.382;6258.108;0.264;1.12;74799030;29379478;27361787;18057765;219.68;86.28;80.36;53.03
23/05/2022;3575291;415;213098;12;105002.475;12.188;6258.46;0.352;1.11;74895805;29385257;27373661;18136887;219.96;86.3;80.39;53.27
24/05/2022;3576042;751;213106;8;105024.531;22.056;6258.695;0.235;1.11;74996124;29391092;27386145;18218887;220.26;86.32;80.43;53.51
25/05/2022;3576309;267;213116;10;105032.372;7.842;6258.989;0.294;1.11;75096013;29397294;27399101;18299618;220.55;86.34;80.47;53.74
26/05/2022;3576640;331;213122;6;105042.093;9.721;6259.165;0.176;1.12;75193370;29403633;27412279;18377458;220.83;86.36;80.51;53.97
27/05/2022;3577241;601;213134;12;105059.744;17.651;6259.518;0.352;1.13;75296983;29410875;27426909;18459199;221.14;86.38;80.55;54.21
28/05/2022;3577907;666;213145;11;105079.304;19.56;6259.841;0.323;1.14;75410211;29418371;27442396;18549444;221.47;86.4;80.6;54.48
29/05/2022;3578364;457;213155;10;105092.725;13.422;6260.134;0.294;1.14;75492732;29423279;27452379;18617074;221.71;86.41;80.62;54.68
30/05/2022;3579534;1170;213162;7;105127.087;34.362;6260.34;0.206;1.15;75584466;29428831;27462993;18692642;221.98;86.43;80.66;54.9
31/05/2022;3580051;517;213173;11;105142.271;15.184;6260.663;0.323;1.15;75670875;29434062;27473424;18763389;222.24;86.44;80.69;55.11
1/06/2022;3580347;296;213186;13;105150.964;8.693;6261.045;0.382;1.16;75743228;29438968;27481357;18822903;222.45;86.46;80.71;55.28
2/06/2022;3581524;1177;213205;19;105185.531;34.567;6261.603;0.558;1.17;75819347;29443509;27489845;18885993;222.67;86.47;80.73;55.47
3/06/2022;3581524;0;213205;0;105185.531;0;6261.603;0;1.18;75899919;29448599;27499422;18951898;222.91;86.49;80.76;55.66
4/06/2022;3582604;1080;213227;22;105217.25;31.718;6262.249;0.646;1.19;75991099;29453973;27510208;19026918;223.18;86.5;80.79;55.88
5/06/2022;3583403;799;213228;1;105240.715;23.466;6262.278;0.029;1.2;76052035;29457652;27517092;19077291;223.36;86.51;80.81;56.03
6/06/2022;3584256;853;213248;20;105265.767;25.052;6262.866;0.587;1.2;76130455;29462190;27525765;19142500;223.59;86.53;80.84;56.22
7/06/2022;3585381;1125;213259;11;105298.807;33.04;6263.189;0.323;1.21;76210568;29466984;27534718;19208866;223.82;86.54;80.87;56.41
8/06/2022;3585767;386;213269;10;105310.144;11.336;6263.483;0.294;1.22;76295522;29472223;27544462;19278837;224.07;86.56;80.9;56.62
9/06/2022;3586242;475;213281;12;105324.094;13.95;6263.835;0.352;1.23;76380304;29477427;27553899;19348978;224.32;86.57;80.92;56.83
10/06/2022;3587142;900;213289;8;105350.526;26.432;6264.07;0.235;1.24;76467258;29483141;27564022;19420095;224.58;86.59;80.95;57.03
11/06/2022;3587906;764;213296;7;105372.964;22.438;6264.276;0.206;1.26;76560487;29488798;27575050;19496639;224.85;86.61;80.98;57.26
12/06/2022;3588697;791;213308;12;105396.195;23.231;6264.628;0.352;1.27;76629051;29492968;27582915;19553168;225.05;86.62;81.01;57.43
13/06/2022;3589782;1085;213316;8;105428.06;31.865;6264.863;0.235;1.28;76681245;29496261;27589103;19595881;225.2;86.63;81.03;57.55
14/06/2022;3590882;1100;213324;8;105460.366;32.306;6265.098;0.235;1.29;76761380;29501196;27598111;19662073;225.44;86.64;81.05;57.75
15/06/2022;3591816;934;213338;14;105487.796;27.431;6265.509;0.411;1.3;76844214;29506017;27607130;19731067;225.68;86.66;81.08;57.95
16/06/2022;3592765;949;213343;5;105515.667;27.871;6265.656;0.147;1.32;76932504;29510876;27615851;19805777;225.94;86.67;81.1;58.17
17/06/2022;3593625;860;213350;7;105540.925;25.257;6265.861;0.206;1.33;77018303;29515687;27624786;19877830;226.19;86.68;81.13;58.38
18/06/2022;3594977;1352;213361;11;105580.631;39.707;6266.184;0.323;1.34;77101766;29520178;27633716;19947872;226.44;86.7;81.16;58.58
19/06/2022;3596377;1400;213374;13;105621.748;41.117;6266.566;0.382;1.35;77132237;29521831;27637067;19973339;226.53;86.7;81.17;58.66
20/06/2022;3597866;1489;213382;8;105665.478;43.73;6266.801;0.235;1.37;77214723;29526095;27644946;20043682;226.77;86.71;81.19;58.87
21/06/2022;3599501;1635;213389;7;105713.496;48.018;6267.007;0.206;1.37;77306285;29530765;27653578;20121942;227.04;86.73;81.22;59.1
22/06/2022;3600993;1492;213395;6;105757.315;43.818;6267.183;0.176;1.38;77403152;29535412;27662833;20204907;227.32;86.74;81.24;59.34
23/06/2022;3603127;2134;213405;10;105819.988;62.673;6267.477;0.294;1.38;77493281;29539674;27670705;20282902;227.59;86.75;81.27;59.57
24/06/2022;3605614;2487;213425;20;105893.029;73.041;6268.064;0.587;1.38;77577090;29543387;27677935;20355768;227.84;86.77;81.29;59.78
25/06/2022;3608565;2951;213432;7;105979.696;86.668;6268.27;0.206;1.39;77680548;29548014;27687288;20445246;228.14;86.78;81.31;60.05
26/06/2022;3611123;2558;213443;11;106054.822;75.126;6268.593;0.323;1.39;77759508;29551462;27694093;20513953;228.37;86.79;81.33;60.25
27/06/2022;3613464;2341;213447;4;106123.575;68.753;6268.71;0.117;1.39;77856399;29555529;27701802;20599068;228.66;86.8;81.36;60.5
28/06/2022;3616929;3465;213462;15;106225.338;101.763;6269.151;0.441;1.39;77966461;29560329;27710716;20695416;228.98;86.82;81.38;60.78
29/06/2022;3617629;700;213475;13;106245.896;20.558;6269.533;0.382;1.39;78040461;29563685;27717154;20759622;229.2;86.83;81.4;60.97
30/06/2022;3620801;3172;213483;8;106339.055;93.158;6269.767;0.235;1.39;78134872;29567811;27724763;20842298;229.47;86.84;81.42;61.21
1/07/2022;3625091;4290;213497;14;106465.047;125.993;6270.179;0.411;1.4;78209097;29571325;27730490;20907282;229.69;86.85;81.44;61.4
2/07/2022;3626802;1711;213509;12;106515.298;50.25;6270.531;0.352;1.4;78301778;29575411;27737864;20988503;229.96;86.86;81.46;61.64
3/07/2022;3629796;2994;213526;17;106603.228;87.931;6271.03;0.499;1.4;78357845;29577759;27742179;21037907;230.13;86.87;81.48;61.79
4/07/2022;3634918;5122;213545;19;106753.656;150.428;6271.588;0.558;1.41;78425276;29580494;27747102;21097680;230.33;86.87;81.49;61.96
5/07/2022;3637529;2611;213551;6;106830.338;76.682;6271.765;0.176;1.41;78507868;29583923;27753124;21170821;230.57;86.88;81.51;62.18
6/07/2022;3640061;2532;213579;28;106904.7;74.362;6272.587;0.822;1.41;78595026;29587816;27760046;21247164;230.83;86.9;81.53;62.4
7/07/2022;3644199;4138;213593;14;107026.229;121.529;6272.998;0.411;1.41;78681835;29591585;27766922;21323328;231.08;86.91;81.55;62.62
8/07/2022;3650203;6004;213612;19;107202.56;176.331;6273.556;0.558;1.41;78778566;29596626;27775506;21406434;231.36;86.92;81.57;62.87
9/07/2022;3656309;6106;213623;11;107381.887;179.327;6273.879;0.323;1.41;78896580;29602317;27785545;21508718;231.71;86.94;81.6;63.17
10/07/2022;3662685;6376;213652;29;107569.143;187.256;6274.731;0.852;1.41;78976332;29606178;27792259;21577895;231.95;86.95;81.62;63.37
11/07/2022;3669043;6358;213665;13;107755.871;186.728;6275.113;0.382;1.41;79069365;29610658;27799841;21658866;232.22;86.96;81.65;63.61
12/07/2022;3675152;6109;213685;20;107935.285;179.415;6275.7;0.587;1.4;79175768;29615754;27808389;21751625;232.53;86.98;81.67;63.88
13/07/2022;3683213;8061;213695;10;108172.028;236.743;6275.994;0.294;1.39;79284229;29621251;27817732;21845246;232.85;86.99;81.7;64.16
14/07/2022;3691213;8000;213714;19;108406.98;234.951;6276.552;0.558;1.38;79402329;29626998;27827042;21948289;233.2;87.01;81.73;64.46
15/07/2022;3703751;12538;213731;17;108775.208;368.228;6277.051;0.499;1.38;79531443;29634113;27837905;22059425;233.58;87.03;81.76;64.79
16/07/2022;3714361;10610;213746;15;109086.812;311.604;6277.492;0.441;1.36;79670726;29641310;27848899;22180517;233.98;87.05;81.79;65.14
17/07/2022;3729879;15518;213769;23;109542.559;455.747;6278.167;0.675;1.33;79766169;29645540;27855811;22264818;234.26;87.07;81.81;65.39
18/07/2022;3740861;10982;213801;32;109865.089;322.53;6279.107;0.94;1.32;79878236;29650869;27864507;22362860;234.59;87.08;81.84;65.68
19/07/2022;3749635;8774;213825;24;110122.772;257.683;6279.812;0.705;1.3;79995730;29656797;27873670;22465263;234.94;87.1;81.86;65.98
20/07/2022;3761445;11810;213840;15;110469.619;346.847;6280.252;0.441;1.27;80115116;29662885;27883696;22568535;235.29;87.12;81.89;66.28
21/07/2022;3773733;12288;213870;30;110830.504;360.885;6281.133;0.881;1.25;80232758;29669378;27893971;22669409;235.64;87.14;81.92;66.58
22/07/2022;3787887;14154;213894;24;111246.192;415.688;6281.838;0.705;1.22;80351024;29676253;27904684;22770087;235.98;87.16;81.95;66.87
23/07/2022;3801893;14006;213918;24;111657.533;411.341;6282.543;0.705;1.2;80472122;29682404;27914278;22875440;236.34;87.17;81.98;67.18
24/07/2022;3816804;14911;213953;35;112095.453;437.92;6283.571;1.028;1.18;80555982;29686431;27920859;22948692;236.58;87.19;82;67.4
25/07/2022;3829775;12971;213998;45;112476.398;380.944;6284.892;1.322;1.15;80651645;29691418;27928441;23031786;236.87;87.2;82.02;67.64
26/07/2022;3839099;9324;214028;30;112750.234;273.836;6285.774;0.881;1.13;80751213;29696518;27936403;23118292;237.16;87.22;82.05;67.9
27/07/2022;3845093;5994;214071;43;112926.271;176.037;6287.036;1.263;1.11;80843612;29701046;27943758;23198808;237.43;87.23;82.07;68.13
28/07/2022;3859279;14186;214112;41;113342.899;416.628;6288.241;1.204;1.09;80891253;29703537;27947672;23240044;237.57;87.24;82.08;68.25
29/07/2022;3873702;14423;214120;8;113766.487;423.588;6288.476;0.235;1.07;80936344;29705916;27951489;23278939;237.7;87.24;82.09;68.37
30/07/2022;3889029;15327;214154;34;114216.624;450.138;6289.474;0.999;1.06;81015677;29709549;27957712;23348416;237.93;87.25;82.11;68.57
31/07/2022;3895496;6467;214195;41;114406.553;189.929;6290.678;1.204;1.05;81067700;29711939;27961879;23393882;238.09;87.26;82.12;68.71
1/08/2022;3900950;5454;214227;32;114566.731;160.178;6291.618;0.94;1.03;81125793;29715580;27966172;23444041;238.26;87.27;82.13;68.85
2/08/2022;3909870;8920;214303;76;114828.702;261.971;6293.85;2.232;1.02;81190809;29718645;27970797;23501367;238.45;87.28;82.15;69.02
3/08/2022;3914506;4636;214364;61;114964.857;136.154;6295.642;1.792;1;81263239;29722234;27976164;23564841;238.66;87.29;82.16;69.21
4/08/2022;3923744;9238;214407;43;115236.167;271.31;6296.904;1.263;0.99;81335957;29725700;27981699;23628558;238.88;87.3;82.18;69.39
5/08/2022;3932838;9094;214431;24;115503.248;267.081;6297.609;0.705;0.98;81413826;29729353;27987689;23696784;239.1;87.31;82.2;69.59
6/08/2022;3940482;7644;214480;49;115727.744;224.496;6299.048;1.439;0.97;81485318;29732597;27993093;23759628;239.31;87.32;82.21;69.78
7/08/2022;3951495;11013;214546;66;116051.184;323.44;6300.987;1.938;0.96;81535197;29734991;27997147;23803059;239.46;87.33;82.22;69.91
8/08/2022;3961513;10018;214588;42;116345.402;294.218;6302.22;1.233;0.96;81604513;29738540;28002967;23863006;239.66;87.34;82.24;70.08
9/08/2022;3966898;5385;214637;49;116503.554;158.152;6303.659;1.439;0.95;81679296;29742579;28009157;23927560;239.88;87.35;82.26;70.27
10/08/2022;3970336;3438;214694;57;116604.524;100.97;6305.333;1.674;0.94;81756711;29746605;28015473;23994633;240.11;87.36;82.28;70.47
11/08/2022;3980850;10514;214739;45;116913.309;308.785;6306.655;1.322;0.93;81836945;29750597;28022105;24064243;240.35;87.37;82.3;70.67
12/08/2022;3992728;11878;214788;49;117262.153;348.844;6308.094;1.439;0.92;81925836;29755645;28029980;24140211;240.61;87.39;82.32;70.9
13/08/2022;4002949;10221;214818;30;117562.333;300.18;6308.975;0.881;0.9;82021767;29760777;28037846;24223144;240.89;87.4;82.34;71.14
14/08/2022;4013831;10882;214890;72;117881.926;319.593;6311.09;2.115;0.89;82083200;29763961;28043072;24276167;241.07;87.41;82.36;71.3
15/08/2022;4022016;8185;214934;44;118122.31;240.385;6312.382;1.292;0.88;82157304;29767911;28049369;24340024;241.29;87.43;82.38;71.48
16/08/2022;4027614;5598;214956;22;118286.718;164.407;6313.028;0.646;0.87;82242499;29772492;28056910;24413097;241.54;87.44;82.4;71.7
17/08/2022;4031007;3393;215028;72;118386.366;99.649;6315.142;2.115;0.86;82329938;29777440;28064631;24487867;241.79;87.45;82.42;71.92
18/08/2022;4037977;6970;215088;60;118591.068;204.701;6316.905;1.762;0.85;82418433;29782298;28072447;24563688;242.05;87.47;82.45;72.14
19/08/2022;4046670;8693;215159;71;118846.372;255.304;6318.99;2.085;0.84;82511946;29787383;28080913;24643650;242.33;87.48;82.47;72.38
20/08/2022;4055454;8784;215209;50;119104.349;257.977;6320.458;1.468;0.83;82606979;29792436;28088654;24725889;242.61;87.5;82.49;72.62
21/08/2022;4061357;5903;215268;59;119277.713;173.365;6322.191;1.733;0.82;82669271;29795890;28094081;24779300;242.79;87.51;82.51;72.77
22/08/2022;4070583;9226;215317;49;119548.671;270.958;6323.63;1.439;0.8;82748306;29800255;28101570;24846481;243.02;87.52;82.53;72.97
23/08/2022;4074004;3421;215342;25;119649.142;100.471;6324.364;0.734;0.79;82831848;29804860;28109371;24917617;243.27;87.53;82.55;73.18
24/08/2022;4075910;1906;215379;37;119705.119;55.977;6325.451;1.087;0.78;82911965;29809272;28116402;24986291;243.5;87.55;82.57;73.38
25/08/2022;4081141;5231;215454;75;119858.748;153.629;6327.654;2.203;0.76;82988793;29813478;28123216;25052099;243.73;87.56;82.59;73.58
26/08/2022;4086627;5486;215486;32;120019.866;161.118;6328.593;0.94;0.75;83072233;29818221;28130791;25123221;243.97;87.57;82.62;73.78
27/08/2022;4091366;4739;215514;28;120159.046;139.179;6329.416;0.822;0.74;83153387;29822365;28137424;25193598;244.21;87.59;82.64;73.99
28/08/2022;4094652;3286;215556;42;120255.552;96.506;6330.649;1.233;0.74;83205487;29824955;28141810;25238722;244.37;87.59;82.65;74.12
29/08/2022;4097530;2878;215602;46;120340.076;84.524;6332;1.351;0.73;83259800;29827733;28146402;25285665;244.53;87.6;82.66;74.26
30/08/2022;4099785;2255;215639;37;120406.303;66.227;6333.087;1.087;0.72;83286271;29829133;28148837;25308301;244.6;87.6;82.67;74.33
31/08/2022;4100923;1138;215685;46;120439.725;33.422;6334.438;1.351;0.72;83342577;29832008;28153728;25356841;244.77;87.61;82.68;74.47
1/09/2022;4102641;1718;215745;60;120490.18;50.456;6336.2;1.762;0.72;83380367;29834258;28157177;25388932;244.88;87.62;82.69;74.56
2/09/2022;4103874;1233;215762;17;120526.392;36.212;6336.699;0.499;0.73;83424577;29836801;28161211;25426565;245.01;87.63;82.71;74.68
3/09/2022;4107492;3618;215780;18;120632.649;106.257;6337.228;0.529;0.72;83470427;29839076;28164941;25466410;245.14;87.63;82.72;74.79
4/09/2022;4111045;3553;215790;10;120736.997;104.348;6337.522;0.294;0.72;83494265;29840256;28167040;25486969;245.21;87.64;82.72;74.85
5/09/2022;4113567;2522;215859;69;120811.065;74.068;6339.548;2.026;0.72;83534649;29842448;28170488;25521713;245.33;87.64;82.73;74.95
6/09/2022;4115117;1550;215877;18;120856.587;45.522;6340.077;0.529;0.72;83576700;29844565;28174131;25558004;245.46;87.65;82.74;75.06
7/09/2022;4115878;761;215928;51;120878.937;22.35;6341.575;1.498;0.72;83620978;29846961;28178151;25595866;245.59;87.66;82.76;75.17
8/09/2022;4118792;2914;215982;54;120964.518;85.581;6343.16;1.586;0.72;83663655;29849385;28182185;25632085;245.71;87.66;82.77;75.28
9/09/2022;4118792;0;215982;0;120964.518;0;6343.16;0;0.72;83714391;29852310;28186985;25675096;245.86;87.67;82.78;75.41
10/09/2022;4121036;2244;216003;21;121030.422;65.904;6343.777;0.617;0.72;83763949;29854824;28190962;25718163;246.01;87.68;82.79;75.53
11/09/2022;4123435;2399;216045;42;121100.878;70.456;6345.011;1.233;0.72;83792921;29856208;28193410;25743303;246.09;87.68;82.8;75.61
12/09/2022;4125208;1773;216086;41;121152.949;52.071;6346.215;1.204;0.72;83836937;29858383;28197169;25781385;246.22;87.69;82.81;75.72
13/09/2022;4126021;813;216125;39;121176.826;23.877;6347.36;1.145;0.73;83885010;29860825;28201322;25822863;246.36;87.7;82.82;75.84
14/09/2022;4126462;441;216151;26;121189.778;12.952;6348.124;0.764;0.73;83932658;29863197;28205527;25863934;246.5;87.71;82.84;75.96
15/09/2022;4127612;1150;216173;22;121223.552;33.774;6348.77;0.646;0.73;83980387;29865671;28209882;25904834;246.64;87.71;82.85;76.08
16/09/2022;4128680;1068;216202;29;121254.918;31.366;6349.622;0.852;0.74;84032335;29868287;28214307;25949741;246.79;87.72;82.86;76.21
17/09/2022;4130040;1360;216235;33;121294.86;39.942;6350.591;0.969;0.75;84080807;29870477;28218030;25992300;246.94;87.73;82.87;76.34
18/09/2022;4131137;1097;216264;29;121327.077;32.218;6351.442;0.852;0.76;84106882;29871781;28220224;26014877;247.01;87.73;82.88;76.4
19/09/2022;4131996;859;216287;23;121352.305;25.228;6352.118;0.675;0.77;84149706;29873936;28223981;26051789;247.14;87.74;82.89;76.51
20/09/2022;4132687;691;216309;22;121372.599;20.294;6352.764;0.646;0.78;84192707;29876072;28227743;26088892;247.26;87.74;82.9;76.62
21/09/2022;4132929;242;216350;41;121379.707;7.107;6353.968;1.204;0.8;84233628;29878270;28231414;26123944;247.39;87.75;82.91;76.72
22/09/2022;4135141;2212;216381;31;121444.671;64.964;6354.879;0.91;0.79;84274720;29880272;28235094;26159354;247.51;87.76;82.92;76.83
23/09/2022;4137314;2173;216406;25;121508.489;63.819;6355.613;0.734;0.78;84320628;29882527;28238898;26199203;247.64;87.76;82.93;76.94
24/09/2022;4138979;1665;216429;23;121557.389;48.899;6356.288;0.675;0.78;84372812;29884821;28243013;26244978;247.79;87.77;82.95;77.08
25/09/2022;4140129;1150;216446;17;121591.163;33.774;6356.788;0.499;0.78;84417487;29887184;28246273;26284030;247.93;87.78;82.96;77.19
26/09/2022;4140874;745;216473;27;121613.043;21.88;6357.581;0.793;0.77;84453550;29889296;28249353;26314901;248.03;87.78;82.97;77.28
27/09/2022;4141241;367;216493;20;121623.821;10.778;6358.168;0.587;0.77;84492007;29891592;28252878;26347537;248.14;87.79;82.98;77.38
28/09/2022;4141410;169;216514;21;121628.784;4.963;6358.785;0.617;0.77;84528706;29893917;28256264;26378525;248.25;87.8;82.99;77.47
29/09/2022;4142104;694;216526;12;121649.167;20.382;6359.137;0.352;0.78;84564042;29896048;28259578;26408416;248.36;87.8;83;77.56
30/09/2022;4143085;981;216539;13;121677.977;28.811;6359.519;0.382;0.78;84597010;29898028;28262450;26436532;248.45;87.81;83;77.64
1/10/2022;4143085;0;216539;0;121677.977;0;6359.519;0;0.79;84618367;29899453;28263647;26455267;248.52;87.81;83.01;77.7
2/10/2022;4144416;1331;216575;36;121717.067;39.09;6360.576;1.057;0.79;84625062;29899740;28264035;26461287;248.53;87.81;83.01;77.71
3/10/2022;4145048;632;216578;3;121735.629;18.561;6360.664;0.088;0.8;84641566;29900958;28264965;26475643;248.58;87.82;83.01;77.76
4/10/2022;4145301;253;216596;18;121743.059;7.43;6361.193;0.529;0.8;84660466;29902259;28266153;26492054;248.64;87.82;83.01;77.8
5/10/2022;4145449;148;216607;11;121747.406;4.347;6361.516;0.323;0.81;84679195;29903923;28267335;26507937;248.69;87.82;83.02;77.85
6/10/2022;4146000;551;216626;19;121763.588;16.182;6362.074;0.558;0.82;84699364;29905877;28268645;26524842;248.75;87.83;83.02;77.9
7/10/2022;4146858;858;216637;11;121788.786;25.199;6362.397;0.323;0.82;84720873;29908252;28270111;26542510;248.82;87.84;83.03;77.95
8/10/2022;4147822;964;216665;28;121817.098;28.312;6363.219;0.822;0.83;84733977;29909693;28270970;26553314;248.85;87.84;83.03;77.98
9/10/2022;4148457;635;216727;62;121835.747;18.649;6365.04;1.821;0.83;84744205;29910620;28271562;26562023;248.88;87.84;83.03;78.01
10/10/2022;4148457;0;216727;0;121835.747;0;6365.04;0;0.84;84769296;29913856;28273107;26582333;248.96;87.85;83.04;78.07
11/10/2022;4148587;130;216755;28;121839.565;3.818;6365.863;0.822;0.85;84793745;29917269;28274530;26601946;249.03;87.86;83.04;78.13
12/10/2022;4148691;104;216788;33;121842.62;3.054;6366.832;0.969;0.86;84817358;29920813;28275971;26620574;249.1;87.87;83.04;78.18
13/10/2022;4149079;388;216819;31;121854.015;11.395;6367.742;0.91;0.88;84841154;29924066;28277319;26639769;249.17;87.88;83.05;78.24
14/10/2022;4149449;370;216830;11;121864.881;10.867;6368.065;0.323;0.89;84866805;29928104;28278938;26659763;249.24;87.9;83.05;78.3
15/10/2022;4149823;374;216844;14;121875.865;10.984;6368.476;0.411;0.91;84890675;29931580;28280332;26678763;249.31;87.91;83.06;78.35
16/10/2022;4150121;298;216855;11;121884.617;8.752;6368.8;0.323;0.93;84901345;29932838;28281028;26687479;249.35;87.91;83.06;78.38
17/10/2022;4150544;423;216860;5;121897.04;12.423;6368.946;0.147;0.95;84925881;29937070;28282468;26706343;249.42;87.92;83.06;78.43
18/10/2022;4150737;193;216877;17;121902.708;5.668;6369.446;0.499;0.97;84949220;29941375;28283890;26723955;249.49;87.93;83.07;78.49
19/10/2022;4150832;95;216877;0;121905.499;2.79;6369.446;0;0.99;84973669;29946143;28285423;26742103;249.56;87.95;83.07;78.54
20/10/2022;4151044;212;216877;0;121911.725;6.226;6369.446;0;1.01;84998433;29951087;28286989;26760357;249.63;87.96;83.08;78.59
21/10/2022;4151414;370;216877;0;121922.591;10.867;6369.446;0;1.04;85027286;29957131;28288999;26781156;249.72;87.98;83.08;78.65
22/10/2022;4151705;291;216877;0;121931.138;8.546;6369.446;0;1.07;85052394;29962261;28290591;26799542;249.79;88;83.09;78.71
